chapter	section	category_code	category_name_cn	subcategory_code	subcategory_name_cn	diagnosis_code	diagnosis_name_cn	chapter_code	parent_code	is_subtype	subtype_number	code_level	diagnosis_name_en	category_name_en	subcategory_name_en	english_mapping_confidence	who_icd_code	who_name_en	structural_name_en	semantic_name_en	english_mapping_type	semantic_source
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.2	牙齿大小和形状异常	K00.206	齿前突	K00	K00.2	FALSE		diagnosis	Abnormalities of size and form of teeth	Disorders of tooth development and eruption	Abnormalities of size and form of teeth	MEDIUM	K00.2	Abnormalities of size and form of teeth	Abnormalities of size and form of teeth	Dens evaginatus	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.2	牙齿大小和形状异常	K00.207	齿中突	K00	K00.2	FALSE		diagnosis	Abnormalities of size and form of teeth	Disorders of tooth development and eruption	Abnormalities of size and form of teeth	MEDIUM	K00.2	Abnormalities of size and form of teeth	Abnormalities of size and form of teeth	Dens invaginatus	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.3	斑釉牙	K00.300	斑釉牙	K00	K00.3	FALSE		diagnosis	Mottled teeth	Disorders of tooth development and eruption	Mottled teeth	HIGH	K00.3	Mottled teeth	Mottled teeth	Mottled teeth	WHO_EXACT	WHO_ICD10
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.3	斑釉牙	K00.300x002	无氟釉质不透明	K00	K00.300	TRUE	002	subtype	Mottled teeth	Disorders of tooth development and eruption	Mottled teeth	LOW	K00.3	Mottled teeth	Mottled teeth	Non-fluoride enamel opacity	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.3	斑釉牙	K00.301	氟牙症	K00	K00.3	FALSE		diagnosis	Mottled teeth	Disorders of tooth development and eruption	Mottled teeth	MEDIUM	K00.3	Mottled teeth	Mottled teeth	Dental fluorosis	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.4	牙形成障碍	K00.400	牙形成障碍	K00	K00.4	FALSE		diagnosis	Disturbances in tooth formation	Disorders of tooth development and eruption	Disturbances in tooth formation	HIGH	K00.4	Disturbances in tooth formation	Disturbances in tooth formation	Disturbances in tooth formation	WHO_EXACT	WHO_ICD10
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.4	牙形成障碍	K00.400x001	弯曲牙	K00	K00.400	TRUE	001	subtype	Disturbances in tooth formation	Disorders of tooth development and eruption	Disturbances in tooth formation	LOW	K00.4	Disturbances in tooth formation	Disturbances in tooth formation	Dilacerated tooth	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.4	牙形成障碍	K00.400x002	特奈牙	K00	K00.400	TRUE	002	subtype	Disturbances in tooth formation	Disorders of tooth development and eruption	Disturbances in tooth formation	LOW	K00.4	Disturbances in tooth formation	Disturbances in tooth formation	Turner tooth	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.4	牙形成障碍	K00.400x004	牙根发育不良	K00	K00.400	TRUE	004	subtype	Disturbances in tooth formation	Disorders of tooth development and eruption	Disturbances in tooth formation	LOW	K00.4	Disturbances in tooth formation	Disturbances in tooth formation	Root dysplasia	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.4	牙形成障碍	K00.401	区域性牙齿发育异常	K00	K00.4	FALSE		diagnosis	Disturbances in tooth formation	Disorders of tooth development and eruption	Disturbances in tooth formation	MEDIUM	K00.4	Disturbances in tooth formation	Disturbances in tooth formation	Regional odontodysplasia	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.4	牙形成障碍	K00.402	釉质发育不全（新生儿）（生后）（生前）	K00	K00.4	FALSE		diagnosis	Disturbances in tooth formation	Disorders of tooth development and eruption	Disturbances in tooth formation	MEDIUM	K00.4	Disturbances in tooth formation	Disturbances in tooth formation	Enamel hypoplasia	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.5	遗传性牙结构紊乱，不可归类在他处者	K00.500	遗传性牙结构紊乱，不可归类在他处者	K00	K00.5	FALSE		diagnosis	Hereditary disturbances in tooth structure, not elsewhere classified	Disorders of tooth development and eruption	Hereditary disturbances in tooth structure, not elsewhere classified	HIGH	K00.5	Hereditary disturbances in tooth structure, not elsewhere classified	Hereditary disturbances in tooth structure, not elsewhere classified	Hereditary disturbances in tooth structure, not elsewhere classified	WHO_EXACT	WHO_ICD10
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.5	遗传性牙结构紊乱，不可归类在他处者	K00.500x002	壳状牙	K00	K00.500	TRUE	002	subtype	Hereditary disturbances in tooth structure, not elsewhere classified	Disorders of tooth development and eruption	Hereditary disturbances in tooth structure, not elsewhere classified	LOW	K00.5	Hereditary disturbances in tooth structure, not elsewhere classified	Hereditary disturbances in tooth structure, not elsewhere classified	Shell teeth	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.5	遗传性牙结构紊乱，不可归类在他处者	K00.501	牙本质发育不全	K00	K00.5	FALSE		diagnosis	Hereditary disturbances in tooth structure, not elsewhere classified	Disorders of tooth development and eruption	Hereditary disturbances in tooth structure, not elsewhere classified	MEDIUM	K00.5	Hereditary disturbances in tooth structure, not elsewhere classified	Hereditary disturbances in tooth structure, not elsewhere classified	Dentinogenesis imperfecta	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.5	遗传性牙结构紊乱，不可归类在他处者	K00.502	牙生长不全	K00	K00.5	FALSE		diagnosis	Hereditary disturbances in tooth structure, not elsewhere classified	Disorders of tooth development and eruption	Hereditary disturbances in tooth structure, not elsewhere classified	MEDIUM	K00.5	Hereditary disturbances in tooth structure, not elsewhere classified	Hereditary disturbances in tooth structure, not elsewhere classified	Odontogenesis imperfecta	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.5	遗传性牙结构紊乱，不可归类在他处者	K00.503	釉质发生不全	K00	K00.5	FALSE		diagnosis	Hereditary disturbances in tooth structure, not elsewhere classified	Disorders of tooth development and eruption	Hereditary disturbances in tooth structure, not elsewhere classified	MEDIUM	K00.5	Hereditary disturbances in tooth structure, not elsewhere classified	Hereditary disturbances in tooth structure, not elsewhere classified	Amelogenesis imperfecta	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.6	牙萌出障碍	K00.600	牙萌出障碍	K00	K00.6	FALSE		diagnosis	Disturbances in tooth eruption	Disorders of tooth development and eruption	Disturbances in tooth eruption	HIGH	K00.6	Disturbances in tooth eruption	Disturbances in tooth eruption	Disturbances in tooth eruption	WHO_EXACT	WHO_ICD10
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.6	牙萌出障碍	K00.600x002	诞生牙	K00	K00.600	TRUE	002	subtype	Disturbances in tooth eruption	Disorders of tooth development and eruption	Disturbances in tooth eruption	LOW	K00.6	Disturbances in tooth eruption	Disturbances in tooth eruption	Natal tooth	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.6	牙萌出障碍	K00.600x006	恒牙萌出过迟	K00	K00.600	TRUE	006	subtype	Disturbances in tooth eruption	Disorders of tooth development and eruption	Disturbances in tooth eruption	LOW	K00.6	Disturbances in tooth eruption	Disturbances in tooth eruption	Delayed eruption of permanent teeth	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.6	牙萌出障碍	K00.600x007	恒牙早萌	K00	K00.600	TRUE	007	subtype	Disturbances in tooth eruption	Disorders of tooth development and eruption	Disturbances in tooth eruption	LOW	K00.6	Disturbances in tooth eruption	Disturbances in tooth eruption	Premature eruption of permanent teeth	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.6	牙萌出障碍	K00.600x008	低位乳牙	K00	K00.600	TRUE	008	subtype	Disturbances in tooth eruption	Disorders of tooth development and eruption	Disturbances in tooth eruption	LOW	K00.6	Disturbances in tooth eruption	Disturbances in tooth eruption	Infraoccluded primary tooth	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.6	牙萌出障碍	K00.601	个别乳磨牙早失	K00	K00.6	FALSE		diagnosis	Disturbances in tooth eruption	Disorders of tooth development and eruption	Disturbances in tooth eruption	MEDIUM	K00.6	Disturbances in tooth eruption	Disturbances in tooth eruption	Premature loss of primary molar	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.6	牙萌出障碍	K00.602	新生儿牙	K00	K00.6	FALSE		diagnosis	Disturbances in tooth eruption	Disorders of tooth development and eruption	Disturbances in tooth eruption	MEDIUM	K00.6	Disturbances in tooth eruption	Disturbances in tooth eruption	Neonatal tooth	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.6	牙萌出障碍	K00.603	牙齿萌出过早	K00	K00.6	FALSE		diagnosis	Disturbances in tooth eruption	Disorders of tooth development and eruption	Disturbances in tooth eruption	MEDIUM	K00.6	Disturbances in tooth eruption	Disturbances in tooth eruption	Premature tooth eruption	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.6	牙萌出障碍	K00.604	牙齿萌出过晚	K00	K00.6	FALSE		diagnosis	Disturbances in tooth eruption	Disorders of tooth development and eruption	Disturbances in tooth eruption	MEDIUM	K00.6	Disturbances in tooth eruption	Disturbances in tooth eruption	Delayed tooth eruption	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.6	牙萌出障碍	K00.605	乳齿过早脱落	K00	K00.6	FALSE		diagnosis	Disturbances in tooth eruption	Disorders of tooth development and eruption	Disturbances in tooth eruption	MEDIUM	K00.6	Disturbances in tooth eruption	Disturbances in tooth eruption	Premature loss of deciduous teeth	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.6	牙萌出障碍	K00.608	乳牙滞留	K00	K00.6	FALSE		diagnosis	Disturbances in tooth eruption	Disorders of tooth development and eruption	Disturbances in tooth eruption	MEDIUM	K00.6	Disturbances in tooth eruption	Disturbances in tooth eruption	Retained deciduous tooth	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.7	出牙综合征	K00.700	出牙综合征	K00	K00.7	FALSE		diagnosis	Teething syndrome	Disorders of tooth development and eruption	Teething syndrome	HIGH	K00.7	Teething syndrome	Teething syndrome	Teething syndrome	WHO_EXACT	WHO_ICD10
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.8	牙发育的其他疾患	K00.800	牙发育的其他疾患	K00	K00.8	FALSE		diagnosis	Other disorders of tooth development	Disorders of tooth development and eruption	Other disorders of tooth development	HIGH	K00.8	Other disorders of tooth development	Other disorders of tooth development	Other disorders of tooth development	WHO_EXACT	WHO_ICD10
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.8	牙发育的其他疾患	K00.800x002	四环素牙	K00	K00.800	TRUE	002	subtype	Other disorders of tooth development	Disorders of tooth development and eruption	Other disorders of tooth development	LOW	K00.8	Other disorders of tooth development	Other disorders of tooth development	Tetracycline-stained teeth	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.8	牙发育的其他疾患	K00.801	牙齿形成期间颜色改变	K00	K00.8	FALSE		diagnosis	Other disorders of tooth development	Disorders of tooth development and eruption	Other disorders of tooth development	MEDIUM	K00.8	Other disorders of tooth development	Other disorders of tooth development	Intrinsic tooth discoloration during tooth formation	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.9	未特指的牙发育疾患	K00.900	牙发育疾患	K00	K00.9	FALSE		diagnosis	Disorder of tooth development, unspecified	Disorders of tooth development and eruption	Disorder of tooth development, unspecified	HIGH	K00.9	Disorder of tooth development, unspecified	Disorder of tooth development, unspecified	Disorder of tooth development, unspecified	WHO_EXACT	WHO_ICD10
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K01	埋伏牙和阻生牙	K01.0	埋伏牙	K01.000	埋伏牙	K01	K01.0	FALSE		diagnosis	Embedded teeth	Embedded and impacted teeth	Embedded teeth	HIGH	K01.0	Embedded teeth	Embedded teeth	Embedded teeth	WHO_EXACT	WHO_ICD10
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K01	埋伏牙和阻生牙	K01.1	阻生牙	K01.100	阻生牙	K01	K01.1	FALSE		diagnosis	Impacted teeth	Embedded and impacted teeth	Impacted teeth	HIGH	K01.1	Impacted teeth	Impacted teeth	Impacted teeth	WHO_EXACT	WHO_ICD10
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K02	龋（牙）	K02.0	牙釉质龋	K02.000	牙釉质龋	K02	K02.0	FALSE		diagnosis	Caries limited to enamel	Dental caries	Caries limited to enamel	HIGH	K02.0	Caries limited to enamel	Caries limited to enamel	Caries limited to enamel	WHO_EXACT	WHO_ICD10
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K02	龋（牙）	K02.0	牙釉质龋	K02.001	牙齿白斑点损害	K02	K02.0	FALSE		diagnosis	Caries limited to enamel	Dental caries	Caries limited to enamel	MEDIUM	K02.0	Caries limited to enamel	Caries limited to enamel	White spot lesion of tooth	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K02	龋（牙）	K02.1	牙本质龋	K02.100	牙本质龋	K02	K02.1	FALSE		diagnosis	Caries of dentine	Dental caries	Caries of dentine	HIGH	K02.1	Caries of dentine	Caries of dentine	Caries of dentine	WHO_EXACT	WHO_ICD10
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K02	龋（牙）	K02.1	牙本质龋	K02.101	乳牙中龋	K02	K02.1	FALSE		diagnosis	Caries of dentine	Dental caries	Caries of dentine	MEDIUM	K02.1	Caries of dentine	Caries of dentine	Moderate caries of primary teeth	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K02	龋（牙）	K02.2	牙骨质龋	K02.200	牙骨质龋	K02	K02.2	FALSE		diagnosis	Caries of cementum	Dental caries	Caries of cementum	HIGH	K02.2	Caries of cementum	Caries of cementum	Caries of cementum	WHO_EXACT	WHO_ICD10
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K02	龋（牙）	K02.3	静止龋	K02.300	静止龋	K02	K02.3	FALSE		diagnosis	Arrested dental caries	Dental caries	Arrested dental caries	HIGH	K02.3	Arrested dental caries	Arrested dental caries	Arrested dental caries	WHO_EXACT	WHO_ICD10
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K02	龋（牙）	K02.4	牙折断	K02.400	牙折裂	K02	K02.4	FALSE		diagnosis	Odontoclasia	Dental caries	Odontoclasia	HIGH	K02.4	Odontoclasia	Odontoclasia	Odontoclasia	WHO_EXACT	WHO_ICD10
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K02	龋（牙）	K02.4	牙折断	K02.400x001	牙折断	K02	K02.400	TRUE	001	subtype	Odontoclasia	Dental caries	Odontoclasia	LOW	K02.4	Odontoclasia	Odontoclasia	Fractured tooth	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K02	龋（牙）	K02.4	牙折断	K02.400x002	婴儿黑牙病	K02	K02.400	TRUE	002	subtype	Odontoclasia	Dental caries	Odontoclasia	LOW	K02.4	Odontoclasia	Odontoclasia	Infantile melanodontia	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K02	龋（牙）	K02.4	牙折断	K02.400x003	黑牙折断	K02	K02.400	TRUE	003	subtype	Odontoclasia	Dental caries	Odontoclasia	LOW	K02.4	Odontoclasia	Odontoclasia	Fracture of black tooth	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K02	龋（牙）	K02.5	牙髓暴露龋	K02.500	龋齿伴牙髓暴露	K02	K02.5	FALSE		diagnosis	Caries with pulp exposure	Dental caries	Caries with pulp exposure	HIGH	K02.5	Caries with pulp exposure	Caries with pulp exposure	Caries with pulp exposure	WHO_EXACT	WHO_ICD10
